s 'o l i d̪ `ɑː r e , s 'ɔ l e d̪ `ɑ r ɛ , s 'ɔ w d̪ `e r , s 'u d̪ `e r , s 'u d̪ `e , s u d̪ e $souder. Verb. 
k 'u l p `ɑ b i l e m , k 'o ɫ p `ɑ b l ɛ , k 'o w p `ɑ b l ə , k 'u p `ɑ b l ə , k 'u p `ɑ b l ə , k u p a b l $coupable. 
k 'u n̪ e `ɑː t̪ ɑ m , k 'o n̪ ʝ `ɑ t̪ ɑ , k 'u ɲ j `e ð ə , k 'ũ ɲ j `e ə , k 'ũ ɲ `e , k ɔ ɲ e $cognée.
p 'u n̪ k t̪ `uː r ɑ m , p 'o ŋ t̪ `u r ɑ , p 'ũ j̃ n̪ t̪ `y r ə , p w 'ĩ n̪ t̪ `y r ə , p w 'ɛ̃ t̪ `y r ə , p w ɛ̃ t̪ y ʁ $pointure. 
b 'u l l i `e n̪ t̪ e m , b 'o l l ʝ `ɛ n̪ t̪ ɛ , b 'o ʎ `ã n̪ t̪ , b 'u ʎ `ã n̪ t̪ , b 'u ʎ `ãː t̪ , b u j ɑ̃ $bouillant. Unknown non-Latin origin loaned into Latin.
m 'o d̪ i `oː l u m , m 'ɔ ʝ ɔ l o , m 'o j `u e̯ l , m w 'ɛ `ø l  , m w 'ɛ j `ø l , m w a j ø $moyeu. 
t̪ 'oː n̪ s i `oː n̪ e m , t̪ 'o s ʝ `o n̪ ɛ , t̪ 'o j z `u n̪ , t̪ w 'ɛ z `ũ n̪ , t̪ w 'ɛ z `ɔ̃ , t̪ w a z ɔ̃ $toison.
ɡ `u t̪ t̪ ɑ m , ɡ `o t̪ t̪ ɑ , ɡ `o t̪ ə , ɡ `u t̪ ə , ɡ `u t̪ ə , ɡ u t̪ $goutte. Unknown origin entering Latin, in all branches of Romance. 
k 'o h `o r t̪ e m , k `o r t̪ e , k `o r t̪ , k `u r t̪ , k `u r t̪ , k u ʁ $court. 
k `u b i t̪ u m , k `o β e t̪ o , k `o d̪ ə , k `u d̪ ə , k `u d̪ ə , k u d̪ $coude
f `u n̪ d̪ u s , f `o n̪ d̪ o s , f `u n̪ t͡s , f `ũ n̪ s , f `ũː s , f ɔ̃ $fonds
s `u m m ɑ m , s `o m m ɑ , s `u m ə , s `ũ m ə , s `ũ m ə , s ɔ m $somme. 
p `u l w e r e m , p `o ɫ w ɛ r ɛ , p `u w d̪ r ə , p `u d̪ r ə , p `u d̪ r ə , p u d̪ ʁ $poudre. 
i l l `oː r u m , e l l `o r o , l `o w r , l `ø r , l `ø r , l œ ʁ $leur. 
n̪ `oː d̪ u m , n̪ `o d̪ o , n̪ `o w θ , n̪ `ø , n̪ `ø , n̪ ø $nœud. 
d̪ `oː n̪ u m , d̪ `o n̪ o , d̪ `u n̪ , d̪ `ũ n̪ , d̪ `ũ n̪ , d̪ `ɔ̃ $don. 
d̪ `oː n̪ ɑ t̪ , d̪ `o n̪ ɑ t̪ , d̪ `u n̪ ə θ , d̪ `ũ n̪ ə , d̪ `ũ n̪ ə , d̪ ɔ n̪ $donne. 
l `u p ɑ m , l `o p ɑ , l `u v ə , l `u v ə , l `u v ə , l u v $louve. 
k 'o l `u k u l ɑ , k 'ɔ n̪ `o k l ɑ , k 'ə n̪ `u ʎ ə , k 'ə n̪ `u ʎ ə , k 'ə n̪ `u ʎ ə , k ə n̪ u j $quenouille.
f `u l ɡ u r e m , f `u ɫ ɟ ɛ r ɛ , f `u ʎ d̪ r ə , f `u d̪ r ə , f `u d̪ r ə , f u d̪ ʁ $foudre. 
w 'e r eː k `u n̪ d̪ i ɑ m , β 'ɛ r e k `o n̪ ɟ ɑ , v 'ɛ r ɡ `u ɲ ə , v 'ɛ r ɡ `ũ ɲ ə , v 'ɛ r ɡ `ũ ɲ ə , v ɛ ʁ ɡ ɔ ɲ $vergogne. 
p `u n̪ k t̪ u m , p `o ŋ t̪ o , p `u j n̪ t̪ , p w `ĩ n̪ t̪ , p w `ẽ t̪ , p w ɛ̃ t̪ $point. 
k `u n̪ e u m , k `o n̪ ʝ o , k `u j ɲ , k w `ĩ ɲ , k w `ẽ ɲ , k w ɛ̃ $coin. 
n̪ `u k e m , n̪ `o c ɛ , n̪ `o j t͡s , n̪ w `ɛ s , n̪ w `ɛ s , n̪ w ɑ $noix. 
k 'o ɡ n̪ `oː s k e r e , k 'ɔ ŋ n̪ `o s c ɛ r ɛ , k 'u n̪ `o j s t̪ r ə , k 'ũ n̪ w `ɛ t̪ r ə , k 'ũ n̪ `ɛ t̪ r ə , k ɔ n̪ ɛ t̪ ʁ $connaître
n̪ `uː l l u m , n̪ `u l l o , n̪ `y l , n̪ `y l , n̪ `y l , n̪ y l $nul
m `uː r u m , m `u r o , m `y r , m `y r , m `y r , m y ʁ $mur. 
`uː n̪ u m , `u n̪ o , `y n̪ , `ỹ n̪ , `ỹ n̪ , œ̃ $un. 
`uː n̪ ɑ m , `u n̪ ɑ , `y n̪ ə , `ỹ n̪ ə, `y n̪ ə , y n̪ $une. 
n̪ `uː l l oː s , n̪ `u l l o s , n̪ y w s , n̪ y s , n̪ y s , n̪ y $nu(l)s. 
i `uː n̪ i u m , ʝ `u n̪ ʝ o , d͡ʒ `y ɲ , ʒ ɥ `i ɲ , ʒ ɥ `ĩ n̪ , ʒ ɥ ɛ̃ $juin. 
f r `uː k t̪ u m , f r `u x t̪ o , f r `y j t̪ , f r ɥ `i t̪ , f r ɥ `i t̪ , f ʁ ɥ i $fruit. 
m 'uː r `ɑː l i ɑ , m 'u r `ɑ l i ɑ , m 'y r `a ʎ ə , m 'y r `a ʎ ə , m 'y r `a ʎ ə , m y ʁ ɑ j $muraille. 
p 'uː r ɡ `ɑː r e , p 'u r ɡ `ɑ r ɛ , p 'y r d͡ʒ `i ɛ̯ r , p 'y r ʒ j `e r , p 'y r ʒ `e , p y ʁ ʒ e $purger. Verb. 
